Reference_type,access_date,alternate_title,author,date,edition,externalBibCode,internal_taxon_id,isbnissn,keywords,number,number_of_volumes,pages,place_published,publisher,secondary_author,secondary_title,section,short_title,submission_type,title,type,url,volume,year
Assessment,,"","Poynton, J.C. and Broadley, D.G.","","",,58086,"","","","",115-181,"","","",Annals of the Natal Museum,"","",Published,Amphibia Zambesiaca. 2. Ranidae,journal article,"",27,1985
Assessment,,"","Poynton, J.C.","","",,58086,"","","","",193-225,"","","",Senckenbergiana Biologica,"","",Published,Amphibia of the Nyasa-Luangwa region of Africa,journal article,"",45,1964
Assessment,,"","Lanza, B.","","",,58086,"","","","",407-465,"","","",Biogeographica,"","",Published,Amphibians and reptiles of the Somali Democratic Republic: checklist and biogeography,journal article,"",14,1990
Assessment,,"","Lötters, S., Rotich, D., Koester, T.E., Kosuch, J., Muchai, V., Scheelke, K., Schick, S., Teege, P., Wasonga, V.D. and Veith, M.","","",,58086,"","",2/3,"",165-179,"","","",Salamandra,"","",Published,What do we know about the amphibians from the Kenyan central and western highlands? A faunistic and taxonomic review,journal article,"",42,2006
Assessment,,"","Poynton, J.C.","","",,58086,"","","","",117-126,"","","",Systematics and Biodiversity,"","",Published,Altitudinal species turnover in southern Tanzania shown by anurans: some zoogeographical considerations,journal article,"",1,2003
Assessment,,"","Stevens, R.A.","","",,58086,"","","","",1-22,"","","",Arnoldia Rhodesia,"","",Published,An annotated checklist of the amphibians and reptiles known to occur in south-eastern Malawi,journal article,"",6,1974
Assessment,,"","Pickersgill, M.","","",,58086,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,,"Lambiris, A.J.L.",,,,58124,,,,,1-210,,,,Lammergeyer,,,Published,A review of the amphibians of Natal,journal article,,39,1989
Assessment,,,"Lötters, S., Wagner, P., Bwong, B.A., Schick, S., Malonza, P.K., Muchai, V., Wasonga, D.V. and Veith, M.",,,,58124,,,,,,Nairobi and Mainz,National Museums of Kanya and University of Mainz,,,,,,A Fieldguide to the Amphibians and Reptiles of the Kakamega Forest,Book,,,2007
Assessment,,"","Vonesh, J.","","",,58124,"","",4,"","","","","",Contemporary Herpetology,"","",Published,"Natural history and biogeography of the amphibians and reptiles of Kibale National Park, Uganda",journal article,http://jnah.cnah.org/ch/ch/2001/4/index.htm,2001,2001
Assessment,,,"Channing, A. and Howell, K.M.",,,,58124,,,,,,Frankfurt am Main,Edition Chimaira,,,,,,Amphibians of East Africa,Book,,,2006
Assessment,,,"Channing, A.",,,,58124,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Stewart, M.M.",,,,58124,,,,,,Albany,State University of New York Press,,,,,,Amphibians of Malawi,Book,,,1967
Assessment,,"","Lambiris, A.J.L.","","",,58124,"","","","",1-247,"","","","Mus. Reg. Sci. Nat. Torino, Monografia","","",Published,The frogs of Zimbabwe,journal article,"",10,1989
Assessment,,"","Broadley, D.G.","","",,58124,"","","","",1-143,"","","",Puku,"","",Published,The reptiles and amphibians of Zambia,journal article,"",6,1971
Assessment,,,"Poynton, J.C.",,,,58124,,,,,1-334,,,,Annals of the Natal Museum,,,Published,The amphibia of southern Africa: a faunal study,journal article,,17,1964
Assessment,,"","Channing, A. and Griffin, M.","","",,58124,"","","","",101-116,"","","",Madoqua,"","",Published,An annotated checklist of the frogs of Namibia,journal article,"",18,1993
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,58124,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,58124,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Wager, V.A.",,,,58124,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,"","Poynton, J.C. and Broadley, D.G.","","",,58124,"","","","",115-181,"","","",Annals of the Natal Museum,"","",Published,Amphibia Zambesiaca. 2. Ranidae,journal article,"",27,1985
Assessment,,"","Channing, A., Sinclair, A.R.E., Mduma, S.A.R., Moyer, D. and Kreulen, D.A.","","",,58124,"","",2,"",163-181,"","","",African Journal of Herpetology,"","",Published,Serengeti amphibians: Distribution and Monitoring baseline,journal article,"",53,2004
Assessment,,"","Poynton, J.C.","","",,58124,"","","","",193-225,"","","",Senckenbergiana Biologica,"","",Published,Amphibia of the Nyasa-Luangwa region of Africa,journal article,"",45,1964
Assessment,,,"Zimkus, B. M., M.-O. Rödel, and A. Hillers",,,,58124,,,,,883-900,,,,Molecular Phylogenetics and Evolution,,,Published,<i>Complex patterns of continental speciation: Molecular phylogenetics and biogeography of sub-Saharan puddle frogs (Phrynobatrachus)</i>,journal article,,55,2010
Assessment,,"","Lötters, S., Rotich, D., Koester, T.E., Kosuch, J., Muchai, V., Scheelke, K., Schick, S., Teege, P., Wasonga, V.D. and Veith, M.","","",,58124,"","",2/3,"",165-179,"","","",Salamandra,"","",Published,What do we know about the amphibians from the Kenyan central and western highlands? A faunistic and taxonomic review,journal article,"",42,2006
Assessment,,"","Poynton, J.C.","","",,58124,"","","","",117-126,"","","",Systematics and Biodiversity,"","",Published,Altitudinal species turnover in southern Tanzania shown by anurans: some zoogeographical considerations,journal article,"",1,2003
Assessment,,"","Ruas, C.","","",,58124,"","","","",19-41,"","","",Garcia de Orta. Ser. Zool. (Lisboa),"","",Published,Contribuicao para o conhecimento da fauna de batraquios de Angola,journal article,"",21,1996
Assessment,,"","Stevens, R.A.","","",,58124,"","","","",1-22,"","","",Arnoldia Rhodesia,"","",Published,An annotated checklist of the amphibians and reptiles known to occur in south-eastern Malawi,journal article,"",6,1974
Assessment,,"","Drewes, R.C. and Vindum, J.V.","","",,58124,"","","","",55-70,"","","",Journal of African Zoology,"","",Published,"Amphibians of the Impenetrable Forest, Southwest Uganda",journal article,"",108,1994
Assessment,,"","Pickersgill, M.","","",,58124,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,"","Schmidt, K.P. and Inger, R.F.","","",,58128,"","","","",1-264,"","","",Exploration du Parc National de l'Upemba,"","",Published,Amphibians,journal article,"",56,1959
Assessment,,,"Laurent, R.F.",,,,58128,,,,,290-310,,,,Bulletin de la Société Zoologique de France,,,Published,Apercu de la biogeographie des batraciens et des reptiles de la region des Grands Lacs,journal article,,79,1979
Assessment,,,"Lambiris, A.J.L.",,,,58128,,,,,1-210,,,,Lammergeyer,,,Published,A review of the amphibians of Natal,journal article,,39,1989
Assessment,,,"Schiøtz, A.",,,,58128,,,127,,1-17,,,,Videnskabelige Meddelelser fra Dansk Naturhistorisk Forening,,,,A preliminary list of amphibians collected in Ghana,Journal Article,,,1964
Assessment,,,"Lötters, S., Wagner, P., Bwong, B.A., Schick, S., Malonza, P.K., Muchai, V., Wasonga, D.V. and Veith, M.",,,,58128,,,,,,Nairobi and Mainz,National Museums of Kanya and University of Mainz,,,,,,A Fieldguide to the Amphibians and Reptiles of the Kakamega Forest,Book,,,2007
Assessment,,,"Frétey, T. and Blanc, C.P.",,,,58128,,,,,,"Libreville, Gabon",ADIE,,,,,,Liste des Amphibiens d'Afrique Centrale,Book,,,2000
Assessment,,,"Rödel, M.-O.",,,,58128,,,,,,Frankfurt am Main,Edition Chimaira,,,,,,Herpetofauna of the West Africa. Volume 1. Amphibians of the West African Savannas,Book,,,2000
Assessment,,,"Channing, A. and Howell, K.M.",,,,58128,,,,,,Frankfurt am Main,Edition Chimaira,,,,,,Amphibians of East Africa,Book,,,2006
Assessment,,,"Channing, A.",,,,58128,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,"","Lambiris, A.J.L.","","",,58128,"","","","",1-247,"","","","Mus. Reg. Sci. Nat. Torino, Monografia","","",Published,The frogs of Zimbabwe,journal article,"",10,1989
Assessment,,"","Broadley, D.G.","","",,58128,"","","","",1-143,"","","",Puku,"","",Published,The reptiles and amphibians of Zambia,journal article,"",6,1971
Assessment,,,"Poynton, J.C.",,,,58128,,,,,1-334,,,,Annals of the Natal Museum,,,Published,The amphibia of southern Africa: a faunal study,journal article,,17,1964
Assessment,,,"Stewart, M.M.",,,,58128,,,1974,,823-832,,,,Copeia,,,,Parallel pattern polymorphism in the genus Phrynobatrachus (Amphibia: Ranidae),Journal Article,,,1974
Assessment,,"","Channing, A. and Griffin, M.","","",,58128,"","","","",101-116,"","","",Madoqua,"","",Published,An annotated checklist of the frogs of Namibia,journal article,"",18,1993
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,58128,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Wager, V.A.",,,,58128,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,,"Amiet, J.-L.",,,,58128,,,132,,29-42,,,,Mémoires du Muséum National d'Histoire Naturelle,,,,La Batrachofaune sylvicole d'un secteur forestier du Cameroun: la région de Yaounde,Journal Article,,,1986
Assessment,,,"Guibé, J. and Lamotte, M.",,,,58128,,,66,,601-627,,,,Memoires de l'Institution Fondamental d'Afrique Noire,,,,La reserve naturelle integrale du Mont Nimba. XXVIII. Batraciens du genre <i>Phrynobatrachus</i>,Journal Article,,,1963
Assessment,,,"Rödel, M.-O. and Ernst, R.",,,,58128,,,36,,561-571,,,,Journal of Herpetology,,,,"A new <i>Phrynobatrachus</i> from the Upper Guinean Rain Forest, West Africa, including a description of a new reproductive mode for the genus",Journal Article,,,2002
Assessment,,"","Poynton, J.C. and Broadley, D.G.","","",,58128,"","","","",115-181,"","","",Annals of the Natal Museum,"","",Published,Amphibia Zambesiaca. 2. Ranidae,journal article,"",27,1985
Assessment,,,"Böhme, W., Meinig, H. and Rödel, M.-O.",,,,58128,,,55,,7-26,,,,British Herpetological Society Bulletin,,,,New records of amphibians and reptiles from Burkina Faso and Mali,Journal Article,,,1996
Assessment,,"","Channing, A., Sinclair, A.R.E., Mduma, S.A.R., Moyer, D. and Kreulen, D.A.","","",,58128,"","",2,"",163-181,"","","",African Journal of Herpetology,"","",Published,Serengeti amphibians: Distribution and Monitoring baseline,journal article,"",53,2004
Assessment,,"","Schiøtz, A.","","",,58128,"","","","",35-83,"","","",Videnskabelige Meddelelser fra Dansk Naturhistorisk Forening,"","",Published,The voices of some West African amphibians,journal article,"",127,1964
Assessment,,"","Inger, R.F.","","",,58128,"","","","",1-190,"","","",Expl. Parc Natn. Garamba,"","",Published,Amphibia,journal article,"",52,1968
Assessment,,,"Lamotte, M. and Xavier, F.",,,,58128,,,(A)28,,344-361,,,,Bull. Inst. Fond. Afr. Noire,,,,Phrynobatrachus natalensis (Smith) et Phrynobatrachus fancisci Boulenger: deux especes de l'Ouest Africain difficiles a distinguer,Journal Article,,,1966
Assessment,,"","Largen, M.J.","","",,58128,"","","","",63-115,"","","",Tropical Zoology,"","",Published,"An annotated checklist of the amphibians and reptiles of Eritrea, with keys for their identification",journal article,"",10,1997
Assessment,,,"Bates, M.F. and Haacke, W.D.",,,,58128,,,19,,101-158,,,,"Navorsinge van die Nasionale Museum, Bloemfontein",,,,The frogs of Lesotho: diversity and distribution,Journal Article,,,2003
Assessment,,,"Rödel, M.-O. and Agyei, A.C.",,,,58128,,,39,,207-234,,,,Salamandra,,,,"Amphibians of the Togo-Volta highlands, eastern Ghana",Journal Article,,,2003
Assessment,,,"Rödel, M.-O.",,,,58128,,,39,,91-110,,,,Salamandra,,,,"The amphibians of Mont Sangbé National Park, Ivory Coast",Journal Article,,,2003
Assessment,,"","Largen, M.J.","","",,58128,"","","","",307-402,"","","",Tropical Zoology,"","",Published,"Catalogue of the amphibians of Ethiopia, including a key for their identification",journal article,"",14,2001
Assessment,,"","Largen, M.J.","","",,58128,"","","","",287-306,"","","",Tropical Zoology,"","",Published,"The status of the genus <i>Phrynobatrachus</i> Günther 1862 in Ethiopia and Eritrea, including the description of a new species (Amphibia Anura Ranidae)",journal article,"",14,2001
Assessment,,"","Joger, U.","","",,58128,"","","","",313-342,"","","",Bonner Zoologische Beiträge,"","",Published,Zur Herpetofaunistik Kameruns (II),journal article,"",33,1982
Assessment,,"","Lötters, S., Rotich, D., Koester, T.E., Kosuch, J., Muchai, V., Scheelke, K., Schick, S., Teege, P., Wasonga, V.D. and Veith, M.","","",,58128,"","",2/3,"",165-179,"","","",Salamandra,"","",Published,What do we know about the amphibians from the Kenyan central and western highlands? A faunistic and taxonomic review,journal article,"",42,2006
Assessment,,"","Poynton, J.C.","","",,58128,"","","","",117-126,"","","",Systematics and Biodiversity,"","",Published,Altitudinal species turnover in southern Tanzania shown by anurans: some zoogeographical considerations,journal article,"",1,2003
Assessment,,"","Ruas, C.","","",,58128,"","","","",19-41,"","","",Garcia de Orta. Ser. Zool. (Lisboa),"","",Published,Contribuicao para o conhecimento da fauna de batraquios de Angola,journal article,"",21,1996
Assessment,,"","Laurent, R.F.","","",,58128,"","","","",1-125,"","","","Exploration du Parc National des Virunga, 2e Ser.","","",Published,Amphibiens,journal article,"",22,1972
Assessment,,"","Perret, J.-L.","","",,58128,"","","","",289-464,"","","",Zoologische Jahrbuecher fuer Systematik,"","",Published,Les Amphibiens du Cameroun,journal article,"",8,1966
Assessment,,"","Pickersgill, M.","","",,58128,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,,"Razzetti, E. and Msuya, C.A.",,,,58177,,,,,,Arusha,TANAPA,,,,,,Field Guide to the Amphibians and Reptiles of Arusha National Park (Tanzania),Book,,,2002
Assessment,,,"Joger, U.",,,,58177,,,,,85-102,Bonn,Museum Alexandrer Koenig,G. Peters and R. Hutterer,Vertebrates in the Tropics,,,Published,"The herpetofauna of the Central African Republic, with description of a new species of <i>Rhinotyphlops</i> (Serpentes: Typhlopidae)",book section,,,1990
Assessment,,,"Lambiris, A.J.L.",,,,58177,,,,,1-210,,,,Lammergeyer,,,Published,A review of the amphibians of Natal,journal article,,39,1989
Assessment,,,"Frétey, T. and Blanc, C.P.",,,,58177,,,,,,"Libreville, Gabon",ADIE,,,,,,Liste des Amphibiens d'Afrique Centrale,Book,,,2000
Assessment,,,"Rödel, M.-O.",,,,58177,,,,,,Frankfurt am Main,Edition Chimaira,,,,,,Herpetofauna of the West Africa. Volume 1. Amphibians of the West African Savannas,Book,,,2000
Assessment,,,"Channing, A. and Howell, K.M.",,,,58177,,,,,,Frankfurt am Main,Edition Chimaira,,,,,,Amphibians of East Africa,Book,,,2006
Assessment,,,"Harper, E. and Vonesh, J.R.",,,,58177,,,,,,,http://www.zoo.ufl.edu/voneshjr/Harper%20&%20Vonesh%20-%20Amphibian%20Guide.pdf,,,,,,Field Guide to the Amphibians of the East Usambara Mountains. Preliminary Draft,Book,,,2003
Assessment,,,"Channing, A.",,,,58177,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Stewart, M.M.",,,,58177,,,,,,Albany,State University of New York Press,,,,,,Amphibians of Malawi,Book,,,1967
Assessment,,"","Lambiris, A.J.L.","","",,58177,"","","","",1-247,"","","","Mus. Reg. Sci. Nat. Torino, Monografia","","",Published,The frogs of Zimbabwe,journal article,"",10,1989
Assessment,,"","Poynton, J.C. and Broadley, D.G.","","",,58177,"","","","",503-553,"","","",Annals of the Natal Museum,"","",Published,"Amphibia Zambesiaca. 1. Scolecomorphidae, Pipidae, Microhylidae, Hemisidae, Arthroleptidae",journal article,"",26,1985
Assessment,,"","Broadley, D.G.","","",,58177,"","","","",1-143,"","","",Puku,"","",Published,The reptiles and amphibians of Zambia,journal article,"",6,1971
Assessment,,"","Schiøtz, A.","","",,58177,"","","","",1-92,"","","",Videnskabelige Meddelelser fra Dansk Naturhistorisk Forening,"","",Published,The amphibians of Nigeria,journal article,"",125,1963
Assessment,,"","Channing, A. and Griffin, M.","","",,58177,"","","","",101-116,"","","",Madoqua,"","",Published,An annotated checklist of the frogs of Namibia,journal article,"",18,1993
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,58177,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Rödel, M.-O. and Spieler, M.",,,,58177,,,620,,1-21,,,,Stuttgarter Beitrage zur Naturkunde Serie A (Biologie),,,,"Trilingual keys to the Savannah-Anurans of the Comoe National Park, Ivory Coast",Journal Article,,,2000
Assessment,,,"Böhme, W., Meinig, H. and Rödel, M.-O.",,,,58177,,,55,,7-26,,,,British Herpetological Society Bulletin,,,,New records of amphibians and reptiles from Burkina Faso and Mali,Journal Article,,,1996
Assessment,,"","Channing, A., Sinclair, A.R.E., Mduma, S.A.R., Moyer, D. and Kreulen, D.A.","","",,58177,"","",2,"",163-181,"","","",African Journal of Herpetology,"","",Published,Serengeti amphibians: Distribution and Monitoring baseline,journal article,"",53,2004
Assessment,,"","Inger, R.F.","","",,58177,"","","","",1-190,"","","",Expl. Parc Natn. Garamba,"","",Published,Amphibia,journal article,"",52,1968
Assessment,,,"Arnoult, J. and Lamotte, M.",,,,58177,,,30(A),,270-306,,,,Bull. Inst. Fond. Afr. Noire,,,,Les Pipidae de l'Ouest africain et du Cameroun,Journal Article,,,1968
Assessment,,,"Tinsley, R.C.",,,,58177,,,15,,133-150,,,,Monitore Zoologico Italiano N.S. Supplemento,,,,Interaction between Xenopus species (Anura: Pipidae),Journal Article,,,1981
Assessment,,"","Loumont, C.","","",,58177,"","","","",735-764,"","","",Rev. Suisse Zool.,"","",Published,"<i>Xenopus pygmaeus</i>, a new diploid pipid frog from rain forest of equatorial Africa",journal article,"",93,1986
